timestamp,cycle,job,instance,status_code,latency_ms,payload_bytes,error
1770363987.674,1,amd-gpu-exporter,10.0.10.1,0,30538.22,784459,timeout
1770363974.672,1,node-exporter,10.0.10.1,0,30172.02,583569,timeout
1770363985.673,1,oci_lens_node_metrics,stress-node-0000,0,30355.34,25528,timeout
1770363948.204,1,oci_lens_drhpc_metrics,stress-node-0000,200,7097.06,14961,
1770363983.673,1,amd-gpu-exporter,10.0.10.2,0,30512.0,784459,timeout
1770363986.673,1,node-exporter,10.0.10.2,0,30203.74,583569,timeout
1770363981.675,1,oci_lens_node_metrics,stress-node-0001,0,30422.15,25528,timeout
1770363940.624,1,oci_lens_drhpc_metrics,stress-node-0001,200,1646.48,14961,
1770363976.674,1,amd-gpu-exporter,10.0.10.3,0,30077.88,784459,timeout
1770363977.675,1,node-exporter,10.0.10.3,0,30301.67,583569,timeout
1770363981.674,1,oci_lens_node_metrics,stress-node-0002,0,30690.0,25528,timeout
1770363984.674,1,oci_lens_drhpc_metrics,stress-node-0002,0,30506.8,14961,timeout
1770363983.674,1,amd-gpu-exporter,10.0.10.4,0,30915.1,784459,timeout
1770363987.673,1,node-exporter,10.0.10.4,0,30888.94,583569,timeout
1770363983.675,1,oci_lens_node_metrics,stress-node-0003,0,30768.37,25528,timeout
1770363982.674,1,oci_lens_drhpc_metrics,stress-node-0003,0,30917.02,14961,timeout
1770363982.674,1,amd-gpu-exporter,10.0.10.5,0,30530.42,784459,timeout
1770363974.673,1,node-exporter,10.0.10.5,0,30215.06,583569,timeout
1770363983.673,1,oci_lens_node_metrics,stress-node-0004,0,30600.86,25528,timeout
1770363955.740,1,oci_lens_drhpc_metrics,stress-node-0004,200,13553.27,14961,
1770363949.558,1,amd-gpu-exporter,10.0.10.6,200,8336.8,784459,
1770363965.277,1,node-exporter,10.0.10.6,200,22239.58,583569,
1770363982.675,1,oci_lens_node_metrics,stress-node-0005,0,30525.13,25528,timeout
1770363987.673,1,oci_lens_drhpc_metrics,stress-node-0005,0,30821.94,14961,timeout
1770363961.004,1,amd-gpu-exporter,10.0.10.7,200,18426.98,784459,
1770363957.155,1,node-exporter,10.0.10.7,200,14936.66,583569,
1770363977.674,1,oci_lens_node_metrics,stress-node-0006,0,30728.51,25528,timeout
1770363975.673,1,oci_lens_drhpc_metrics,stress-node-0006,0,30221.16,14961,timeout
1770363938.662,1,amd-gpu-exporter,10.0.10.8,200,1076.94,784459,
1770363977.674,1,node-exporter,10.0.10.8,0,30976.33,583569,timeout
1770363986.673,1,oci_lens_node_metrics,stress-node-0007,0,30273.2,25528,timeout
1770363986.675,1,oci_lens_drhpc_metrics,stress-node-0007,0,30748.07,14961,timeout
1770363952.838,1,amd-gpu-exporter,10.0.10.9,200,11052.7,784459,
1770363980.674,1,node-exporter,10.0.10.9,0,30532.42,583569,timeout
1770363978.674,1,oci_lens_node_metrics,stress-node-0008,0,30476.61,25528,timeout
1770363977.676,1,oci_lens_drhpc_metrics,stress-node-0008,0,30508.44,14961,timeout
1770363984.675,1,amd-gpu-exporter,10.0.10.10,0,30495.09,784459,timeout
1770363984.674,1,node-exporter,10.0.10.10,0,30392.63,583569,timeout
1770363973.673,1,oci_lens_node_metrics,stress-node-0009,0,30025.47,25528,timeout
1770363982.674,1,oci_lens_drhpc_metrics,stress-node-0009,0,30313.29,14961,timeout
1770363977.673,1,amd-gpu-exporter,10.0.10.11,0,30762.2,784459,timeout
1770363986.673,1,node-exporter,10.0.10.11,0,30536.96,583569,timeout
1770363987.674,1,oci_lens_node_metrics,stress-node-0010,0,30909.72,25528,timeout
1770363976.673,1,oci_lens_drhpc_metrics,stress-node-0010,0,30973.78,14961,timeout
1770363983.673,1,amd-gpu-exporter,10.0.10.12,0,30624.96,784459,timeout
1770363985.674,1,node-exporter,10.0.10.12,0,30418.18,583569,timeout
1770363954.257,1,oci_lens_node_metrics,stress-node-0011,200,12337.03,25528,
1770363974.674,1,oci_lens_drhpc_metrics,stress-node-0011,0,30267.54,14961,timeout
1770363985.674,1,amd-gpu-exporter,10.0.10.13,0,30350.25,784459,timeout
1770363958.667,1,node-exporter,10.0.10.13,200,16368.55,583569,
1770363983.675,1,oci_lens_node_metrics,stress-node-0012,0,30030.68,25528,timeout
1770363986.674,1,oci_lens_drhpc_metrics,stress-node-0012,0,30861.82,14961,timeout
1770363974.673,1,amd-gpu-exporter,10.0.10.14,0,30734.77,784459,timeout
1770363978.674,1,node-exporter,10.0.10.14,0,30020.33,583569,timeout
1770363980.676,1,oci_lens_node_metrics,stress-node-0013,0,30573.55,25528,timeout
1770363939.704,1,oci_lens_drhpc_metrics,stress-node-0013,200,1084.92,14961,
1770363941.616,1,amd-gpu-exporter,10.0.10.15,200,2114.94,784459,
1770363987.673,1,node-exporter,10.0.10.15,0,30551.93,583569,timeout
1770363979.673,1,oci_lens_node_metrics,stress-node-0014,0,30057.09,25528,timeout
1770363984.675,1,oci_lens_drhpc_metrics,stress-node-0014,0,30558.19,14961,timeout
1770363980.675,1,amd-gpu-exporter,10.0.10.16,0,30728.11,784459,timeout
1770363944.637,1,node-exporter,10.0.10.16,200,4124.7,583569,
1770363943.867,1,oci_lens_node_metrics,stress-node-0015,200,3513.99,25528,
1770363970.316,1,oci_lens_drhpc_metrics,stress-node-0015,200,26962.29,14961,
1770363939.375,1,amd-gpu-exporter,10.0.10.17,200,899.32,784459,
1770363966.462,1,node-exporter,10.0.10.17,200,23249.3,583569,
1770363985.673,1,oci_lens_node_metrics,stress-node-0016,0,30975.97,25528,timeout
1770363947.838,1,oci_lens_drhpc_metrics,stress-node-0016,200,6766.15,14961,
1770363945.694,1,amd-gpu-exporter,10.0.10.18,200,4981.59,784459,
1770363975.673,1,node-exporter,10.0.10.18,0,30322.61,583569,timeout
1770363974.674,1,oci_lens_node_metrics,stress-node-0017,0,30333.92,25528,timeout
1770363987.673,1,oci_lens_drhpc_metrics,stress-node-0017,0,30457.77,14961,timeout
1770363973.469,1,amd-gpu-exporter,10.0.10.19,200,29994.49,784459,
1770363977.674,1,node-exporter,10.0.10.19,0,30321.55,583569,timeout
1770363985.674,1,oci_lens_node_metrics,stress-node-0018,0,30100.07,25528,timeout
1770363959.605,1,oci_lens_drhpc_metrics,stress-node-0018,200,17267.69,14961,
1770363968.336,1,amd-gpu-exporter,10.0.10.20,200,25067.91,784459,
1770363949.956,1,node-exporter,10.0.10.20,200,8572.31,583569,
1770363972.197,1,oci_lens_node_metrics,stress-node-0019,200,28753.33,25528,
1770363987.673,1,oci_lens_drhpc_metrics,stress-node-0019,0,30973.1,14961,timeout
1770363939.827,1,amd-gpu-exporter,10.0.10.21,200,1202.16,784459,
1770363944.395,1,node-exporter,10.0.10.21,200,3924.38,583569,
1770363977.674,1,oci_lens_node_metrics,stress-node-0020,0,30342.82,25528,timeout
1770363943.651,1,oci_lens_drhpc_metrics,stress-node-0020,200,3552.05,14961,
1770363942.170,1,amd-gpu-exporter,10.0.10.22,200,2380.54,784459,
1770363977.675,1,node-exporter,10.0.10.22,0,30199.04,583569,timeout
1770363977.675,1,oci_lens_node_metrics,stress-node-0021,0,30227.4,25528,timeout
1770363986.674,1,oci_lens_drhpc_metrics,stress-node-0021,0,30779.07,14961,timeout
1770363987.674,1,amd-gpu-exporter,10.0.10.23,0,30333.59,784459,timeout
1770363938.306,1,node-exporter,10.0.10.23,200,733.69,583569,
1770363975.673,1,oci_lens_node_metrics,stress-node-0022,0,30759.51,25528,timeout
1770363975.674,1,oci_lens_drhpc_metrics,stress-node-0022,0,30598.16,14961,timeout
1770363950.722,1,amd-gpu-exporter,10.0.10.24,200,9195.74,784459,
1770363978.675,1,node-exporter,10.0.10.24,0,30761.69,583569,timeout
